frame_number,timestamp_seconds,timestamp_minutes,timestamp_formatted,num_bees,video_name,period,week,day,site,full_id,max_confidence,avg_confidence,min_confidence
7192,119.98653333333334,1.9997755555555556,01:59,3,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6508562564849854,0.4879396855831146,0.35852980613708496
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,1,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.7536343932151794,0.7536343932151794,0.7536343932151794
12586,209.97643333333335,3.4996072222222225,03:29,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6249098777770996,0.45610499382019043,0.28730010986328125
14384,239.97306666666668,3.9995511111111113,03:59,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.6577957272529602,0.47934263944625854,0.3008895814418793
16182,269.9697,4.499495,04:29,0,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.48381152749061584,0.4452183246612549,0.4066251516342163
19778,329.96296666666666,5.499382777777778,05:29,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.30343097448349,0.30056244134902954,0.2976939082145691
21576,359.9596,5.999326666666667,05:59,3,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.442283034324646,0.3354615271091461,0.2659066319465637
23374,389.95623333333333,6.499270555555555,06:29,1,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.4083288311958313,0.4083288311958313,0.4083288311958313
25172,419.9528666666667,6.999214444444445,06:59,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.38175398111343384,0.36175307631492615,0.34175217151641846
26970,449.9495,7.499158333333333,07:29,3,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.5049858689308167,0.37321653962135315,0.25170886516571045
28768,479.94613333333336,7.999102222222223,07:59,2,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.2582692503929138,0.25742942094802856,0.2565895915031433
30566,509.94276666666667,8.499046111111111,08:29,0,P1000412.MP4,mid,week 5,day 1,site 1,week 5_day 1_site 1_mid,0.0,0.0,0.0
0,0.0,0.0,00:00,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.6137756705284119,0.6137756705284119,0.6137756705284119
1798,29.996633333333335,0.4999438888888889,00:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.2953324317932129,0.2953324317932129,0.2953324317932129
3596,59.99326666666667,0.9998877777777778,00:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.3826986849308014,0.3826986849308014,0.3826986849308014
5394,89.9899,1.4998316666666667,01:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.3776596784591675,0.3776596784591675,0.3776596784591675
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.3631110191345215,0.3631110191345215,0.3631110191345215
17980,299.96633333333335,4.999438888888889,04:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.27861547470092773,0.27861547470092773,0.27861547470092773
19778,329.96296666666666,5.499382777777778,05:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.5214203596115112,0.5214203596115112,0.5214203596115112
21576,359.9596,5.999326666666667,05:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.488515704870224,0.488515704870224,0.488515704870224
23374,389.95623333333333,6.499270555555555,06:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.7366273403167725,0.7366273403167725,0.7366273403167725
25172,419.9528666666667,6.999214444444445,06:59,2,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.6367549896240234,0.5938274264335632,0.550899863243103
26970,449.9495,7.499158333333333,07:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.3625754415988922,0.3625754415988922,0.3625754415988922
28768,479.94613333333336,7.999102222222223,07:59,3,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.502547025680542,0.4159749448299408,0.2840685546398163
30566,509.94276666666667,8.499046111111111,08:29,3,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.5353507995605469,0.36868512630462646,0.28199148178100586
32364,539.9394,8.99899,08:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.27204230427742004,0.27204230427742004,0.27204230427742004
34162,569.9360333333334,9.49893388888889,09:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
35960,599.9326666666667,9.998877777777778,09:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.5506809949874878,0.5506809949874878,0.5506809949874878
37758,629.9293,10.498821666666666,10:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
39556,659.9259333333333,10.998765555555556,10:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.4742899537086487,0.4742899537086487,0.4742899537086487
41354,689.9225666666666,11.498709444444444,11:29,3,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.42940858006477356,0.35464516282081604,0.3064044117927551
43152,719.9192,11.998653333333333,11:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
44950,749.9158333333334,12.498597222222223,12:29,2,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.30623316764831543,0.2902616560459137,0.27429014444351196
46748,779.9124666666667,12.99854111111111,12:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
48546,809.9091,13.498484999999999,13:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
50344,839.9057333333334,13.99842888888889,13:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
52142,869.9023666666667,14.498372777777778,14:29,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
55738,929.8956333333333,15.498260555555555,15:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.6187390685081482,0.6187390685081482,0.6187390685081482
57536,959.8922666666667,15.998204444444445,15:59,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.2975785732269287,0.2975785732269287,0.2975785732269287
59334,989.8889,16.498148333333333,16:29,1,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.31612521409988403,0.31612521409988403,0.31612521409988403
61132,1019.8855333333333,16.998092222222223,16:59,0,P1000445.MP4,afternoon,week 5,day 1,site 1,week 5_day 1_site 1_afternoon,0.0,0.0,0.0
