epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,6541.09,2.25003,1.64661,0.93312,0.70277,0.47887,0.47196,0.16616,2.41028,1.55719,0.8784,0.001268,0.001268,0.001268
63,6629.36,2.47518,1.98738,0.93335,0.6314,0.48258,0.40986,0.09697,2.74651,1.6982,0.88912,0.001256,0.001256,0.001256
64,6702.65,2.31131,1.64204,0.89291,0.5938,0.42254,0.33533,0.06306,3.0447,1.75253,0.90585,0.001244,0.001244,0.001244
65,6775.28,2.4174,1.71577,0.90851,0.70505,0.47887,0.49934,0.12595,2.69387,1.588,0.88004,0.001232,0.001232,0.001232
66,6852.46,2.45406,1.80084,0.8875,0.60009,0.19718,0.24632,0.0668,2.94126,3.03389,0.92871,0.00122,0.00122,0.00122
67,6929.52,2.30345,1.72935,1.04103,0.57337,0.2462,0.25942,0.06986,3.11004,2.27875,0.92582,0.001208,0.001208,0.001208
68,7005.26,2.37086,1.9486,0.8729,0.64464,0.46479,0.43185,0.10938,2.74464,1.5903,0.89537,0.001196,0.001196,0.001196
69,7090.77,2.39526,1.74714,0.93788,0.67154,0.50704,0.482,0.14982,2.55892,1.80311,0.87827,0.001184,0.001184,0.001184
70,7176.89,2.26606,1.74939,0.90021,0.63786,0.52113,0.52973,0.17247,2.43474,1.79918,0.87581,0.001172,0.001172,0.001172
71,7261.89,2.15763,1.5101,0.86143,0.67869,0.52113,0.53329,0.15948,2.53458,1.70259,0.87789,0.00116,0.00116,0.00116
72,7334.3,2.37559,1.64628,1.00405,0.7144,0.39437,0.44736,0.13424,2.58403,1.64032,0.88786,0.001148,0.001148,0.001148
73,7414.47,2.25886,1.89176,0.93603,0.60341,0.29577,0.31969,0.08129,3.01005,1.81192,0.91003,0.001136,0.001136,0.001136
74,7497.3,2.26543,1.77479,0.95083,0.46898,0.40845,0.33741,0.06387,2.97535,1.9624,0.89982,0.001124,0.001124,0.001124
75,7577.89,2.1919,1.68176,0.87076,0.47594,0.47887,0.42327,0.09508,2.71847,1.88107,0.88209,0.001112,0.001112,0.001112
76,7659.7,2.30167,1.78454,0.90219,0.66609,0.35211,0.39848,0.11278,2.63805,1.80701,0.88311,0.0011,0.0011,0.0011
77,7738.03,2.26174,1.86229,0.88908,0.59417,0.40845,0.47049,0.12849,2.49447,1.882,0.87549,0.001088,0.001088,0.001088
78,7814.59,2.35933,1.78218,0.90472,0.65716,0.49296,0.52617,0.18537,2.33659,1.84116,0.86392,0.001076,0.001076,0.001076
79,7892.27,2.27355,1.57003,0.85458,0.74322,0.50704,0.54686,0.19996,2.38264,1.64908,0.86255,0.001064,0.001064,0.001064
80,7967.52,2.29737,1.62843,0.96237,0.74008,0.47887,0.51913,0.12912,2.65056,1.6687,0.88107,0.001052,0.001052,0.001052
81,8038.15,2.46603,2.01903,0.94579,0.7001,0.47887,0.46874,0.1133,2.67085,1.84959,0.88462,0.00104,0.00104,0.00104
82,8110.07,2.22974,1.7707,0.92116,0.71293,0.52472,0.56195,0.1704,2.42117,1.73214,0.87218,0.001028,0.001028,0.001028
